Main Category,Category,Subcategory,Search Keyword,Product Name,Company Name,Price,MOQ,Location,Rating,Reviews,Image URL,Product URL,Product Description,Product ID,Local Image Path
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,18mm Waterproof Shuttering Plywood,Cochin Wood Industries Pvt. Ltd.,₹ 84,/sq ft,Perumbavoor - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2024/11/467436041/RL/CA/RX/234741560/waterproof-shuttering-plywood-250x250.jpg,https://www.indiamart.com/proddetail/18mm-waterproof-shuttering-plywood-2855191969073.html,18mm Waterproof Shuttering Plywood,ff81b1a7-8aa9-41d4-b325-9d5bbda429cc,products\ff81b1a7-8aa9-41d4-b325-9d5bbda429cc\1.jpg
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,"Marlex Poplar & Eucalyptus Commercial Shuttering Plywood, for Furniture, Grade: M.r. Grade",Mahadev Traders,Ask Price,,Rajkot,,,https://5.imimg.com/data5/MF/KE/GN/SELLER-96118699/commercial-shuttering-plywood-250x250.jpg,https://www.indiamart.com/proddetail/commercial-shuttering-plywood-21652558630.html,"Marlex Poplar & Eucalyptus Commercial Shuttering Plywood, for Furniture, Grade: M.r. Grade",88b8c8c9-d678-4d22-bdaf-ec1b369b8d3b,products\88b8c8c9-d678-4d22-bdaf-ec1b369b8d3b\1.jpg
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,"Shuttering Plywood, Thickness: 12 mm",Shree Maa Krupa Enterprise,₹ 65,/sq ft,Rajkot,,,https://5.imimg.com/data5/ANDROID/Default/2024/10/456410583/AX/NG/MY/228114867/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/shuttering-plywood-2854787680088.html,"Shuttering Plywood, Thickness: 12 mm",acfb3f74-344c-4ad0-904d-536435997198,products\acfb3f74-344c-4ad0-904d-536435997198\1.jpg
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,12 mm Deccan Shuttering Plywood,Jay Bhavani Enterprise,"₹ 1,890",/Piece,Bhavnagar,,,https://5.imimg.com/data5/SELLER/Default/2024/8/444432652/ML/ZQ/ZO/95507752/wooden-plank-250x250.jpeg,https://www.indiamart.com/proddetail/deccan-shuttering-plywood-2849503110073.html,12 mm Deccan Shuttering Plywood,f7a2b6cb-8262-4e90-b38e-cb12821cce6b,products\f7a2b6cb-8262-4e90-b38e-cb12821cce6b\1.jpeg
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,"12 mm Construction Plywood, 8x4",Mehta Trading,₹ 42,/sq ft,Bhavnagar,,,https://5.imimg.com/data5/ANDROID/Default/2023/8/335398588/KM/KE/AX/23840663/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/construction-plywood-2852081189412.html,"12 mm Construction Plywood, 8x4",e9698bf2-f609-4f24-9b13-e43a1ced820f,products\e9698bf2-f609-4f24-9b13-e43a1ced820f\1.jpg
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,Color Galvanized Maroon And Brown Shuttering Plywood Sheet,Momai Infrastructure,₹ 400,/sq ft,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2024/2/391922694/QZ/EH/TW/48350557/whatsapp-image-2024-02-21-at-4-54-06-am-1-250x250.jpeg,https://www.indiamart.com/proddetail/shuttering-plywood-sheet-2853490290991.html,Color Galvanized Maroon And Brown Shuttering Plywood Sheet,b463b368-87b0-4eff-a60f-47a97836db50,products\b463b368-87b0-4eff-a60f-47a97836db50\1.jpeg
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,"A1 Ikon Plywood, 12 mm, 30 kg",Bajrag Sales Agency,Ask Price,,Rajkot,,,https://5.imimg.com/data5/ANDROID/Default/2020/10/VA/DY/EF/30600542/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/a1-ikon-plywood-2858239858930.html,"A1 Ikon Plywood, 12 mm, 30 kg",8e7431f6-269e-4886-8ac4-146f5ca2a99f,products\8e7431f6-269e-4886-8ac4-146f5ca2a99f\1.jpg
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,"Shuttering Plywood 12 Mm, 8x4 ft",A R Ply,₹ 61,/sq ft,Surat - Deals in Amreli,,,https://5.imimg.com/data5/ANDROID/Default/2025/3/495120336/QE/XM/NN/57248836/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/shuttering-plywood-12-mm-2856040776033.html,"Shuttering Plywood 12 Mm, 8x4 ft",91e7e4bf-f4ea-4ef0-937c-b761b0ae159a,products\91e7e4bf-f4ea-4ef0-937c-b761b0ae159a\1.jpg
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,"Waterproof Shuttering Plywood, Thickness: 12 mm",Pragati Wood Specialities Pvt. Ltd.,₹ 53,/sq ft,Surat - Deals in Amreli,,,https://5.imimg.com/data5/WHATSAPP/Default/2024/5/421655625/VY/KZ/FM/186091368/new-product-250x250.jpeg,https://www.indiamart.com/proddetail/waterproof-shuttering-plywood-2851307565288.html,"Waterproof Shuttering Plywood, Thickness: 12 mm",4d903ef2-6ace-4170-bf0a-47d999e7a6fd,products\4d903ef2-6ace-4170-bf0a-47d999e7a6fd\1.jpeg
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,"Poplar Brown Water Resistant Shuttering Plywood, Thickness: 20mm",Jay Pee Agency,₹ 35,/Sq ft,Ahmedabad - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2024/7/433046982/XP/DJ/GX/10286393/water-resistant-shuttering-plywood-250x250.jpg,https://www.indiamart.com/proddetail/water-resistant-shuttering-plywood-13776490862.html,"Poplar Brown Water Resistant Shuttering Plywood, Thickness: 20mm",c1c2b747-7776-4896-8eb7-51b1d6207642,products\c1c2b747-7776-4896-8eb7-51b1d6207642\1.jpg
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,"1/2 Inch Shuttering Plywood Board, For Construction use",Swastik Enterprise,₹ 55,/sq ft,Ahmedabad - Deals in Amreli,,,https://5.imimg.com/data5/ANDROID/Default/2024/5/422991434/PN/TS/CC/3978812/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/shuttering-plywood-board-2854174205762.html,"1/2 Inch Shuttering Plywood Board, For Construction use",65056855-3dfc-4ce7-a925-4255de6969d8,products\65056855-3dfc-4ce7-a925-4255de6969d8\1.jpg
Construction,Scaffolding & Formwork,Shuttering Plywood,shuttering plywood,"High Density Shuttering Plywood, Thickness: 25 mm",Regency Wood Panel Private Limited,₹ 70,/sq ft,Navi Mumbai - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2024/8/441436036/PY/XU/WW/3440146/high-density-shuttering-plywood-250x250.jpg,https://www.indiamart.com/proddetail/high-density-shuttering-plywood-4640964855.html,"High Density Shuttering Plywood, Thickness: 25 mm",e7c2bf0a-c2ed-4a88-a02a-8cb4ccd2d514,products\e7c2bf0a-c2ed-4a88-a02a-8cb4ccd2d514\1.jpg
Construction,Scaffolding & Formwork,Steel Props,steel props,"Push Pull Props, 2.5 M, Load capacity: 20 kN, steel",Rcon Engineering,₹ 70,,Rajkot - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2023/11/362638555/AM/SU/OV/4303884/push-pull-props-250x250.jpeg,https://www.indiamart.com/proddetail/push-pull-props-20190837788.html,"Push Pull Props, 2.5 M, Load capacity: 20 kN, steel",ff768129-7d1e-499a-bfc1-46f951bf710b,products\ff768129-7d1e-499a-bfc1-46f951bf710b\1.jpeg
Construction,Scaffolding & Formwork,Steel Props,steel props,"Steel Prop, 2 m",Marshal Engineers,₹ 62,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2022/10/PV/FJ/PF/19149072/prop-jack-250x250.jpeg,https://www.indiamart.com/proddetail/steel-prop-2858658270362.html,GST Email Mobile Member: 10 yrs,df5cd584-8145-4545-a711-0ae72e08f2bd,products\df5cd584-8145-4545-a711-0ae72e08f2bd\1.jpeg
Construction,Scaffolding & Formwork,Steel Props,steel props,"Adjustable Steel Props, Shape: Round",Shreenathji Welding,₹ 60,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2025/6/516992529/LE/FX/EJ/120128070/adjustable-steel-props-250x250.png,https://www.indiamart.com/proddetail/adjustable-steel-props-2854902092097.html,"Adjustable Steel Props, Shape: Round",9798f31d-32bd-4237-b50e-52eb50923ee6,products\9798f31d-32bd-4237-b50e-52eb50923ee6\1.png
Construction,Scaffolding & Formwork,Steel Props,steel props,"Steel Props, 3 m, Load capacity: 80 kN",SSB Scaffolding,₹ 70,,Khambhaliya - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2025/12/565048955/FB/MV/KK/252826991/steel-props-250x250.jpg,https://www.indiamart.com/proddetail/steel-props-2858080866933.html,"Steel Props, 3 m, Load capacity: 80 kN",f73a52be-f342-4d86-8695-0441dfebee2d,products\f73a52be-f342-4d86-8695-0441dfebee2d\1.jpg
Construction,Scaffolding & Formwork,Steel Props,steel props,"Adjustable Steel Props, Load capacity: 20 kN, 3 m",Humaid Steel Works,₹ 65,,Ahmedabad - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2026/2/583591779/BJ/SI/FZ/46014769/adjustable-steel-props-250x250.png,https://www.indiamart.com/proddetail/adjustable-steel-props-2856263782597.html,"Adjustable Steel Props, Load capacity: 20 kN, 3 m",f49c6085-0ad7-45ad-9567-94158588abdc,products\f49c6085-0ad7-45ad-9567-94158588abdc\1.png
Construction,Scaffolding & Formwork,Steel Props,steel props,Steel Prop,Metro Steel Traders,₹ 63,,Ahmedabad - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2025/4/503212310/NQ/PF/UO/6829260/m-s-scaffolding-manufacture-250x250.jpeg,https://www.indiamart.com/proddetail/steel-prop-2857959982662.html,Ahmedabad - Deals in Amreli,39e26627-2ee4-4698-89f1-9566d3c2d25c,products\39e26627-2ee4-4698-89f1-9566d3c2d25c\1.jpeg
Construction,Scaffolding & Formwork,Steel Props,steel props,"Push Pull Prop, Load capacity: 20 kN, 2 m, steel",Jignesh Industries,₹ 60,,Ahmedabad - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2024/3/405504027/EC/QY/LH/1936101/push-pull-prop-250x250.jpg,https://www.indiamart.com/proddetail/push-pull-prop-23476638691.html,"Push Pull Prop, Load capacity: 20 kN, 2 m, steel",40ab722e-6d99-4fb9-93b2-d884588f70a2,products\40ab722e-6d99-4fb9-93b2-d884588f70a2\1.jpg
